source,target,count,amount
0xd24400ae8bfebb18ca49be86258a3c749cf46853,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,177,701.4993784
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x9c67e141c0472115aa1b98bd0088418be68fd249,171,903.017841
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,165,10528.95278
0x1522900b6dafac587d499a862861c0869be6e428,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,165,30804.38737
0xd24400ae8bfebb18ca49be86258a3c749cf46853,0x8271b2e8cbe29396e9563229030c89679b9470db,165,1061.13161
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,164,498.021489
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,163,1615.612767
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,163,8329.009039
0x5baeac0a0417a05733884852aa068b706967e790,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,162,659.6178073
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,146,328.696146
0x8271b2e8cbe29396e9563229030c89679b9470db,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,140,1854.550823
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x96fc4553a00c117c5b0bed950dd625d1c16dc894,139,381.2895742
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,138,706.5034699
0x5baeac0a0417a05733884852aa068b706967e790,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,138,294.3763003
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,136,432.2619615
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,127,232.0113306
