co_miners,pool_name
0x1eaeeabd28a09f5cfd26ca169cf3d38f33a52fc0,twethpool
0xc2dc4a5b06d788717a20191e15b2b33620407fa6,twethpool
0x85c60cc0955080c59177919438ab08f824ca983f,twethpool
0x93c7898fba9f7e1acfe8d8ba0be89e6a3842b185,twethpool
0xb2ef51fc4754304becea1bec85ae81953c14339e,twethpool
0xe2bb0c0456923cb65bcfae9a599350f6a728ca1c,twethpool
0x98c5d9a73dcce99c6f4d6ccf3de97c68e330f240,twethpool
0x16019947e1190ca94e69176dd2f00a6a3021ad1b,twethpool
0x80fdf446a251ae694804f4d85825e2032a51e218,twethpool
0x33d9c4799f97ce31ac8c3544adc5f3ad0fb4b236,twethpool
0x71963871318e7384e1c902e336b22f9555feff36,twethpool
0xb1116990f9fc07520c99fe2c5cecb1cb63e595e2,twethpool
0x246dede712ce4c0dd7524689c713474262f959ee,twethpool
0xe290e1cd7a99bcfacf6568d3cfd832ef17885db6,twethpool
0x95a52f04d439a746578ffada13c7ddcb069ed869,twethpool
0x1f34d70a3f3f5fe527699f7e5dd1ae9020ab73d5,twethpool
0xa26cf155146c20bbd15af71ceda34a29c88c9b22,twethpool
0x9bc3aed8f3110122b2f7b0bbdd832a6c00d5cd25,twethpool
0x92123b9367a02d4994d4fc11288dfb527b6b16d3,twethpool
0x6ee7fab5c9642ac2c2b610ff832fe1fd24ea3366,twethpool
0xbd98279197736d8861d2fdd0b0e4fe9d09aee503,twethpool
0xbae23d5cd14952051de8334f39e8a921086ac37d,twethpool
0x925824406b9cf28cc638a1c2cb16dfe7bf333371,twethpool
0xb0522dec80cfe6ab9385f84b1ad23d5c4515131e,twethpool
0x9ff88e9e80e88c2c5531e0e00d1ce895bcd87df8,twethpool
0x5545fc0e27c907e3de2b0b9deec1b607f80b468d,twethpool
0x8f3e5b7c30ba103e4d1a78312b7c53eead726e01,twethpool
0xfe56557ccfa3438b812e0e7c7a8c778053c4e4db,twethpool
0x5c5ad8c34db21d0aea6aa1ad33a84da2aaa981b7,twethpool
0x704f0bd84e9e00113f0f3fba38c5505acf90d868,twethpool
0x279a98ebc3da18230936c20a22e56fc558e7e9e6,twethpool
0x9a058a8f5c43ca336e59f3edd39e8d06c7967caa,twethpool
0x5b9392842cf4873f1f80ffb0045ff26b3a2fdc88,twethpool
0xbcf57eafde4bedcfc1968ffd69bc0eb8a5d6d25e,twethpool
0xbf586af18e3f1921293bf0220c3561b1a20d334f,twethpool
0x279a12ce1f1e8409e602f93df5597dbf1d58ab8f,twethpool
0x58485b2e5dc37887bcadd7f7405256bf5d3f866a,twethpool
0x6566c149c174f9ed8549960464732d8b20eab572,twethpool
0x52bc1bfe8016579e64415152ab1dd6598131bf77,twethpool
0xf1e06f444208f696df1b2a46957834b50bd6eae7,twethpool
0xb2f4d828e91dd80b2fb055c7968582c5bd7e00ce,twethpool
0x8519be7c4c5f4e238bd72a9111c5c9c6b655b957,twethpool
0x0fd8d36425c0da4de1d13c1c0758da887bc0fbb3,twethpool
0x50d844894865b689531f864cf1553d0ad75198ca,twethpool
0xe553ac1a516c8e963786d6ec2aeb009e15e42afb,twethpool
0x34ac1014d6c07125ff7de35e374f285a600d4ae9,twethpool
0x87dd3c40897d6c3396db2e99ed3ed87c1b31f25e,twethpool
0x6a66bfe950fb4f6a6af74ed27b0fe09c35b49100,twethpool
0xa8b325b45024ed586e135fc58fef4961577a1b0d,twethpool
0xdc055485c2d49cb70ed9f76e51df0f9bdb6836f6,twethpool
0x0e5ad8116998d8a16947fe4ab2be531ef243918d,twethpool
0xd6de2f808543a0580e283b5efe393185cb080c75,twethpool
0x5039c5635a1a3809390c6bf86ad4c15de5188558,twethpool
0xda236f3e131b2e4f97f8fb30b19af450f410ddfc,twethpool
0x9a79c3da33922c9b7cb3edfc53debd5adc0e8457,twethpool
0x4e0d0d2a4d9a514b7e8a82fa055efaeb4cace2c3,twethpool
0xeab043dc48675a45ec42a9c5d03d339426133873,twethpool
0x74e96fc82a06ff9672bd4088823d6c0d5cc5d3ac,twethpool
0xa996e1ed697352b4e6b81b995ca8446115fa6493,twethpool
0x3b83dfa4c2f016cd49d5b48336394eddfdea6fec,twethpool
0x683e5d1588262295acbbb882e01988ce3b31e199,twethpool
0x9781ee823b25c3a23b3b015b7f40c259422cb3a4,twethpool
0xae12a74550d0d291f61c719c0e22e9c61d380579,twethpool
0x44b08b7d4ea478a69b42432d2039b63680307ab3,twethpool
0x5303f2a0f236eceea97d7c336168fb6668a0ccde,twethpool
0xd6793ae8c8179e11043388d584ae459c99ed40f8,twethpool
0xff34c161c77e1401aa6a01c924dd011ad1a10ee2,twethpool
0x27449bd2b854c358f962f07479138515425bae3f,twethpool
0x34a7716cf07cc8313662ec11b2d89d79d0944783,twethpool
0xbf45cccb96f27dfae498ca0697d17143fdd14888,twethpool
0xcde23d67075595343486ca9f10b8b5507f0f027a,twethpool
0x1e980d252b622ab972d26e398a1fc78afc5b432f,twethpool
0x946a8a46eb48bce48fcc2e323689b80fca20fc6c,twethpool
0xa8f3463caec7bd27eb3012fd1ba6f8e0ade64133,twethpool
0x7445a6bc8701d64f696a144f5277054bf098710f,twethpool
