co_miners,pool_name
0x17312ad4ca3851cde92e5147d1bc2baf0a6aa717,dwrafPool
0xd60782fee09acbe4f5cfc4f4398659bb401303e4,dwrafPool
0xc30d08019b20b11d69722a202a7b5f1be95e1bdf,dwrafPool
0xd5f3edef1cf82279d0f79ad6321e5cbf04ed54ec,dwrafPool
0xc6f9c809c8253e7959814a4ecbf064687661b312,dwrafPool
0xc47d31c6f592fae9fbec247eb4d8c696c42f9eb0,dwrafPool
0xadc5794c53b4ab681d3c86258f8aa63743f11773,dwrafPool
0x6f9f0dc1244491c82bfc8504edc8398261658b01,dwrafPool
0xa2072a64827946e130988c5e9bbc3255e8768803,dwrafPool
0x68bee81d2553ee1fe4c0d4299c83d8e70fd0d1cb,dwrafPool
0xfdfed57e62f78c86d4b9dc7e8f77a2e0cf84dd51,dwrafPool
0x0008bf86174cc4d1410438f387776b298c9faf93,dwrafPool
0x3355991f11342a0004de0758d9765c4b0ef461bf,dwrafPool
0xb827913735faa28b5073236404d02ca0991d4cbc,dwrafPool
0x472f009b1eab850f3d674a1553b994232c669022,dwrafPool
0xeb1f19f181a08cd2377f0bd0d84cab88982cb898,dwrafPool
0xa5f17c6b8a1b7ed158f7b70064ef1e6c1689d327,dwrafPool
0xc8aa3cc62875f457220c2b97e5c7859fefc067bb,dwrafPool
0x6ac57b9efc006e4f1902c4aa2d18fd7eb5c2a128,dwrafPool
0x422c7957c7ccc6a0bdf4f203dba7df7f2b9bb4cf,dwrafPool
0xc62d3c5102ca33ea031a21ad15f1d75d4a043f71,dwrafPool
0xfc518a86ecfef08bad29b357e6576b4ec458acd3,dwrafPool
0x7410e5a9229c17d547bb35dc4f0fb86de6ec2905,dwrafPool
0x3c5ff6a68c69c7e5662d1131e76b2c9059430e5c,dwrafPool
0x66d206ae9d2b24910c845d70731e617f5b1b24b5,dwrafPool
0xd9f760cb25532afa7ea6862b193cfd8e1f2e94f4,dwrafPool
0x8a4ea9bd78f4fed6dcd3720180c01ff8a414c75e,dwrafPool
0x462b4aba7c76123be4941276f6b830b946b9d8e8,dwrafPool
0x5a5acb67f64d4fb2948dd84ec0b859cce3d311c3,dwrafPool
0x76a75580fce096510254318b8da2609207fb69b2,dwrafPool
0x155fab39abf30a71adc79bd8dcccd2a2812708be,dwrafPool
0x34c2a322c546f78325aaff536fe75bf96d0755c6,dwrafPool
0xe193de87726d9d224a16922542f85b4f8994592a,dwrafPool
0xc19ee647a06e21811a3b23bf6d199b9428e8ac57,dwrafPool
0xc7279cd7c32c95515d6b813c5fa24649399ba289,dwrafPool
0x731edb1debfa50b76695505850dea3eafe51aa30,dwrafPool
0x9407f982aaa12708e7c4771ade9cfc5b79963e70,dwrafPool
0xb6a7ad5336e206a8854adfbe2e5989922701bcc5,dwrafPool
0x86202c446dcd617ff1e4756626ac74e6b9f71b97,dwrafPool
0x75bb1ddc1015be418d4170e6d492e490856a7684,dwrafPool
0x98760954b6f404be34c00920398ff767d34eb805,dwrafPool
0x9654e6a6ce239a166c89d2a8b07ec3802e69fe00,dwrafPool
0x2db8d99e7ae80041884f25061d334a09a335d8e7,dwrafPool
0xd8b29c9f75bd7b1da495cf5ae9848fcd527293ee,dwrafPool
0xf4aab9d4220d59b69b9a1ed9a980fd0077ad0dbb,dwrafPool
0xcf4f037ac6ec25471ed2e61ab96dbad5842a3635,dwrafPool
0x1a81820a60acfd679849a2c76c9181e35bf28a19,dwrafPool
0x43b5edf7562980c53b3f1f7e3a7aaf12b86b35f3,dwrafPool
0xe57925d155c086d8570a281faa5854e38b7d225f,dwrafPool
0xa609d2583577e63ce649ecc2eecac8a8d41cec54,dwrafPool
